session,t_ros,x,y,z,yaw_deg,nearest_dense_wp,nearest_distance_m
210339_wrong_localization,1786795446.329003811,-4.956575,-3.596890,-0.099523,12.712,10,2.1564
210339_wrong_localization,1786795446.429391623,-4.956306,-3.594452,-0.099199,12.726,10,2.1545
210339_wrong_localization,1786795446.528983831,-4.955187,-3.593541,-0.099366,12.722,10,2.1544
210339_wrong_localization,1786795446.630896807,-4.957596,-3.592737,-0.099565,12.704,10,2.1524
210339_wrong_localization,1786795446.730518818,-4.958090,-3.590580,-0.098663,12.670,10,2.1503
210339_wrong_localization,1786795446.831093073,-4.955593,-3.590123,-0.096247,12.716,10,2.1514
210339_wrong_localization,1786795446.929130077,-4.956952,-3.592327,-0.097654,12.700,10,2.1524
210339_wrong_localization,1786795447.029078722,-4.950497,-3.591818,-0.097960,12.726,11,2.1557
210339_wrong_localization,1786795447.130684137,-4.950513,-3.589549,-0.098768,12.735,11,2.1537
210339_wrong_localization,1786795447.229244232,-4.954857,-3.590072,-0.099822,12.685,10,2.1518
210339_wrong_localization,1786795447.328821182,-4.957190,-3.589812,-0.099702,12.710,10,2.1502
210339_wrong_localization,1786795447.428739071,-4.957996,-3.591737,-0.100055,12.706,10,2.1513
210339_wrong_localization,1786795447.529120684,-4.953228,-3.593251,-0.098666,12.706,10,2.1553
210339_wrong_localization,1786795447.629164696,-4.956042,-3.595740,-0.096875,12.746,10,2.1557
210339_wrong_localization,1786795447.730935335,-4.957177,-3.597890,-0.097486,12.717,10,2.1569
210339_wrong_localization,1786795447.830738306,-4.953803,-3.598712,-0.096712,12.704,10,2.1595
210339_wrong_localization,1786795447.928745270,-4.953850,-3.596561,-0.094474,12.700,10,2.1577
