session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795423.543520212,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.549399853,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.569345951,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.584601641,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.589328527,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.609331846,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.629429102,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.643529654,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.649469376,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.651311159,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.669418335,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.689369202,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.709376335,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.717957735,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.729617834,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.743540049,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.749527454,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.769462109,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.784572601,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.789338350,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.809343815,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.829478502,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.843561172,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.849428177,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.851252317,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.869352341,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.889325380,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.909372807,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.918009520,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.929554701,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.943557262,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.949568272,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.969351292,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.984555006,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.989346743,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.009344816,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.029675484,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.043648958,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795424.049420834,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.051249981,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795424.069614410,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.089427710,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.109423399,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.117968082,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795424.129446030,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.145034552,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795424.149554253,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.169525385,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.184649467,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795424.189469099,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.209382534,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.229424000,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.243530989,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795424.249416351,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.251278877,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795424.269467354,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.289459229,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.309344292,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.317987919,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795424.329504967,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795424.343576908,/cmd_vel_raw,0.000000,0.000000
